employee_id,test_score
80daf581,212
8141ad3e,235
81e18689,212
8205a876,439
82bf75f4,295
82eb5b29,197
830d00c3,424
8364dbb2,197
83ac6952,220
8476e4e6,333
84a9c3c5,189
84b62128,129
85ce72be,205
86070f63,258
863a7a40,205
865387d8,174
86b03698,189
8769424d,273
886e43ea,83
88bd2854,356
88c707b9,91
88f67137,129
8928d7a8,265
8948e057,333
894979c7,197
8a2de222,227
8a473c59,152
8aedd876,326
8b64ec14,280
8c628dc8,280
8c86404d,341
8cba9ae4,159
8ccbaff2,288
8e130c8f,242
8e9ede18,174
8efedced,333
8f65945d,424
9063ac73,98
906abfc7,227
90baa22b,341
9134ff9c,61
91881f0c,273
9210bf78,265
9274383d,318
927c317d,288
92c4acd3,318
93b6cfc1,182
9404cda9,364
948b1ace,258
94b28814,258
94fab2bb,288
965ac95c,318
96c21cb3,114
97793f7c,205
97c7c1b5,136
97ccc01d,250
980d9b48,242
9817a11e,205
98780af0,265
98f131d7,341
99084368,303
99f78516,136
9a25b086,311
9b3dc002,303
9ba99466,227
9cd30309,182
9d93b8ee,174
9e5880eb,182
9e9c8bfe,364
9f46360c,235
9fd28b83,295
a046b1e6,152
a0d860bf,167
a12398aa,356
a1327b15,326
a18ecc4e,227
a1b4d288,303
a30b9f6a,356
a34ae8d0,205
a56cb82f,326
a6b95dc0,258
a74933aa,280
a7aa3f59,250
a7d7afd6,227
a8bd794c,167
a8ca8a73,265
a9ab88e3,61
a9b7a050,258
aa3a9fb5,205
aaa3203e,167
aaa3534f,258
aac0beb4,250
aac255af,273
ab7e59c7,152
abba9ca3,227
acd7b4f7,288
acfde6d2,136
ad8c9253,265
adb079b7,174
adf4bdc2,114
b04e7a9f,159
b07a9228,152
b18466d5,144
b2724d1d,326
b27b4a98,220
b286a11e,250
b366ed59,182
b3725db2,182
b3b50d4a,273
b3c99902,167
b3ed4375,386
b4776b90,227
b4a7cd69,333
b544d9a5,295
b6888ee6,129
b6901f9b,311
b6c48cdb,212
b80beef0,333
b8ada622,258
bab8cbf5,0
bb457a36,364
bb595127,348
bbcdccb8,220
bc571555,280
bc6a8480,288
bc6a88b5,265
bc82a988,273
bcc26613,303
bd135c46,303
bd1fd772,182
bd895489,265
be8b6baa,273
bef20aa4,333
bf0381d0,242
bf83b134,341
bf8c4621,288
bf8fa362,114
c0225fe1,295
c0acd456,258
c2939a84,98
c2ed12f0,242
c444de08,182
c4578853,205
c50b1a62,129
c61db280,258
c70d89a2,258
c764744b,485
c76ebafe,167
c77cc0c6,250
c848bdb0,227
c8aaae9a,258
c8d12ae0,265
c8d3a9b4,227
c922d25a,212
c999c3f5,280
cb192603,303
cbde52de,189
cc35ce30,227
cd5064ed,235
cd60f70d,303
cdd744e7,144
ce617d7d,136
ce686d71,174
d042ae66,227
d0711e00,250
d0b458b0,417
d0f9c863,152
d10fe0e6,288
d1bc4b3f,250
d1bde0f2,212
d1c67f53,303
d1ed69af,341
d284613d,295
d2960031,379
d2e14cd8,159
d2e27e4d,371
d37e7c84,220
d4f80cb0,242
d500008c,280
d5489fe2,205
d550070a,182
d581439c,242
d587089c,265
d665821e,159
d772499c,500
d80c241e,258
d852f146,197
da5e8888,333
db037029,250
dbba5286,258
dc87d51c,417
dcc07942,326
dd3fe082,220
dd6bf9fb,303
dde1999b,152
dde23585,227
df278b06,227
df686f1b,265
dfc6a217,174
dff895b2,288
dffb138f,205
e098cf31,189
e0da8b59,182
e101978a,212
e104e934,174
e10c2095,167
e12db0d2,303
e1fe67f4,167
e22e5998,144
e24e3f73,182
e3375e89,394
e41b2548,273
e498c332,280
e5d0994f,167
e741dceb,159
e7a55a91,205
e7a60e03,227
e7f2d790,250
e7f84291,295
e81f635b,311
e947a5a0,379
e9f0029e,273
ea500b6e,250
ebaae4bd,83
ec356208,280
ed167920,220
ed2ad508,318
ed5b1361,273
ede55bd7,311
ee6777fa,167
ee9febae,144
eec4c425,402
efb921f3,295
f04679c9,311
f0560bcc,303
f0580354,212
f15a18ce,167
f1b5d0a0,189
f1c13d6c,242
f32c0cae,432
f350611d,197
f3c5b8c3,303
f436dc91,326
f6992c92,318
f7073349,129
f7314e66,129
f79e2067,182
f7a153a6,303
f7ab67cc,189
f7f9c622,379
f83746c6,152
f869c0ad,227
f8cb42cf,318
f8ced0df,189
fa29684c,220
fa47d7d0,174
fab3198a,250
faf22ce9,379
fb5da7fe,402
fbc09a16,182
fc074eff,220
fccc1bc6,212
fcd29ebc,326
fd38c592,38
fd3f0257,311
fd4e88c0,98
fdf590b8,258
fef7fc93,242
ff6f866d,265
fff52bc6,379
