employee_id,performance_group,yrs_employed,manager_hire,group_size,concern_flag,mobile_flag,customers,high_hours_flag,transfers,reduced_schedule,city,test_score,type
4532e76f,Middle,4.6,N,9,Y,N,22,N,0,Y,Chicago,220,Urban
46c39f61,Bottom,5,N,11,N,N,24,N,2,Y,San Francisco,167,Suburban
4778d76c,Middle,4.4,N,8,N,N,18,N,0,Y,Chicago,220,Urban
47c9b35e,Top,6,N,15,Y,N,34,N,0,N,New York,295,Urban
47d6fc9f,Bottom,4.8,N,12,N,N,18,N,0,N,New York,280,Urban
48507fc0,Middle,4.4,N,17,N,N,18,N,0,N,Toronto,462,Urban
49f49cc7,Middle,4.9,N,11,N,Y,16,N,2,Y,Houston,189,Suburban
49f4dc41,Top,3.7,N,11,N,N,16,N,0,N,New York,220,Urban
4a9eb443,Middle,4.4,N,10,N,Y,26,N,0,N,Chicago,106,Urban
4b934557,Middle,4.6,N,10,N,N,24,N,0,Y,Orlando,220,Suburban
4bd699d4,Middle,4.6,N,12,N,N,18,N,2,N,Toronto,167,Urban
4c594b79,Top,4.2,N,11,N,N,18,Y,2,N,New York,348,Urban
4c9b3876,Middle,4.6,N,9,Y,N,18,N,0,N,New York,409,Urban
4d593345,Middle,4.5,N,6,N,N,22,N,0,N,Toronto,136,Urban
4e8b206b,Bottom,4.9,N,13,N,Y,22,Y,2,Y,San Francisco,326,Suburban
4fa96bbd,Middle,5.1,N,15,N,N,22,Y,2,N,Toronto,197,Urban
4ffffa9d,Middle,5.3,N,10,N,N,16,N,0,N,New York,121,Urban
5046ef5b,Middle,4.6,N,9,N,N,20,N,0,N,Toronto,235,Urban
50612e98,Bottom,4.4,N,16,N,N,40,Y,2,N,Toronto,159,Urban
508d4855,Middle,5,N,11,N,N,22,N,2,N,Toronto,144,Urban
51532894,Middle,5.2,N,13,N,Y,16,N,0,N,New York,288,Urban
51623589,Middle,4.1,N,11,N,N,20,Y,0,Y,Toronto,220,Urban
51b9f4c2,Bottom,2.8,Y,9,N,N,24,N,0,N,New York,152,Urban
51e27cfe,Bottom,3.6,Y,8,N,N,16,N,0,N,New York,98,Urban
51e801e4,Middle,4.9,N,12,N,Y,20,Y,0,N,Toronto,159,Urban
52204196,Middle,5.2,N,11,N,N,16,N,0,Y,Chicago,205,Urban
52b7c12e,Middle,4.6,N,11,Y,N,18,N,0,N,Toronto,326,Urban
52fc4d27,Middle,4.8,N,7,N,N,14,N,0,N,New York,303,Urban
538f99bc,Middle,4.7,N,11,N,N,22,N,0,N,New York,182,Urban
53f52fd8,Bottom,4.3,N,11,N,N,24,N,2,N,Toronto,242,Urban
54289dac,Middle,4.5,N,8,N,N,18,N,2,N,Toronto,227,Urban
547584ac,Middle,4.6,N,11,N,N,20,Y,0,N,Chicago,197,Urban
55007f0c,Middle,4.2,N,9,N,Y,26,N,0,N,Toronto,242,Urban
551ba7ea,Middle,4.6,N,13,N,N,18,N,0,N,Toronto,265,Urban
5700c368,Bottom,3.8,N,9,N,N,16,N,0,N,Toronto,356,Urban
571c21ff,Bottom,5.2,N,8,N,N,16,N,0,Y,San Francisco,83,Suburban
5722f7d6,Bottom,4.5,N,8,N,N,18,Y,0,N,Toronto,212,Urban
582e7062,Bottom,5,N,8,N,Y,16,N,2,Y,Houston,205,Suburban
586eb60d,Middle,4.3,N,11,N,N,18,N,0,N,Toronto,98,Urban
589fcdd8,Top,3.8,N,14,N,Y,16,N,0,N,Toronto,318,Urban
5a343b35,Middle,3.7,N,9,N,N,24,N,3,N,New York,205,Urban
5ab4b656,Middle,4.6,N,14,N,N,20,Y,0,N,New York,273,Urban
5acf99c0,Middle,4.9,N,17,N,N,20,Y,2,N,New York,265,Urban
5ad93121,Top,4.4,N,11,N,N,26,Y,2,Y,San Francisco,273,Suburban
5b268514,Top,4.2,N,11,N,N,16,N,0,Y,Toronto,144,Urban
5bc0968a,Middle,4.3,N,12,N,N,18,N,2,N,New York,311,Urban
5bcb8806,Bottom,5,N,11,N,N,20,N,0,Y,San Francisco,174,Suburban
5bd15eec,Top,3.3,Y,11,N,N,16,N,0,Y,Houston,220,Suburban
5da9639e,Middle,4.1,N,15,N,N,20,Y,0,N,Toronto,303,Urban
5f17a93b,Bottom,4.8,N,13,N,N,18,Y,2,N,Chicago,311,Urban
5f32922b,Middle,3.9,N,13,N,N,20,N,0,N,New York,220,Urban
602410d1,Middle,4,N,11,N,N,18,N,0,N,New York,265,Urban
602ce2b1,Top,4,N,13,N,N,20,Y,0,Y,San Francisco,273,Suburban
60845764,Bottom,4.5,N,13,N,N,22,Y,0,N,New York,114,Urban
610ece3e,Bottom,5.5,N,6,N,Y,20,Y,0,Y,Orlando,129,Suburban
616e7dc0,Middle,5.1,N,14,N,Y,22,Y,3,N,Toronto,295,Urban
61a0762d,Middle,4.6,N,8,N,N,24,N,0,N,Toronto,242,Urban
63496c55,Middle,5.3,N,11,N,Y,24,N,2,Y,San Francisco,242,Suburban
637e8a0f,Middle,4.2,N,13,N,N,34,Y,3,N,Toronto,220,Urban
63c5649d,Bottom,4.8,N,12,N,Y,14,N,2,N,Toronto,174,Urban
642614af,Middle,5,N,9,Y,N,16,Y,2,N,Toronto,280,Urban
64b4e375,Middle,4.4,N,12,N,N,26,Y,0,N,Toronto,205,Urban
64c6833b,Middle,4.4,N,13,N,Y,16,N,2,N,Chicago,333,Urban
64e3a1ba,Bottom,5.2,N,10,N,Y,22,Y,3,N,Toronto,311,Urban
65a9dfdd,Bottom,4.5,N,8,N,Y,14,N,0,N,Toronto,235,Urban
662f3d39,Middle,5,N,13,N,N,24,N,0,N,New York,159,Urban
6640964f,Middle,4.7,N,15,N,N,24,Y,2,N,Toronto,424,Urban
66534e07,Middle,5.1,N,11,N,N,20,Y,2,N,Toronto,167,Urban
66810cc9,Middle,5,N,14,N,Y,24,Y,3,N,Toronto,295,Urban
66b83b4b,Bottom,5.6,N,10,Y,N,22,N,0,Y,San Francisco,174,Suburban
683ba552,Top,3.7,N,9,N,N,22,Y,0,N,Toronto,356,Urban
694626f7,Bottom,5.5,N,14,Y,Y,20,N,0,N,Toronto,174,Urban
699e4d61,Middle,4.5,N,9,N,N,20,N,0,N,Toronto,189,Urban
6ac38c5e,Middle,4.6,N,9,N,N,18,N,2,Y,San Francisco,318,Suburban
6b14f9f8,Middle,4.4,N,11,N,N,16,N,2,N,New York,144,Urban
6b707925,Middle,4,N,11,N,Y,32,Y,2,Y,Toronto,121,Urban
6c56cf27,Middle,4.4,N,13,N,N,16,N,2,N,Toronto,265,Urban
6d1d3f94,Bottom,5,N,11,N,Y,26,N,2,Y,San Francisco,144,Suburban
6e43d0eb,Bottom,4.5,N,17,N,N,32,Y,0,N,New York,182,Urban
6f6a15c3,Middle,4.9,N,14,N,Y,28,Y,3,N,Toronto,227,Urban
6f706192,Middle,5,N,15,N,N,22,N,0,N,New York,295,Urban
6fad20c6,Middle,5,N,9,N,N,20,Y,0,Y,San Francisco,159,Suburban
6fb92fa9,Bottom,5,N,15,N,Y,18,Y,2,N,Chicago,273,Urban
6fe8b754,Top,4.9,N,15,Y,N,20,Y,0,N,Toronto,197,Urban
6ffbce77,Top,3.7,N,13,N,N,22,Y,2,N,Toronto,174,Urban
70028ff8,Middle,4,N,9,N,N,28,Y,0,N,New York,152,Urban
705a7b97,Middle,4.5,N,20,N,N,30,Y,2,N,New York,402,Urban
70d7c0fd,Bottom,4.9,Y,13,N,N,20,N,0,N,Toronto,220,Urban
70ee73b9,Bottom,4.7,N,10,N,N,24,Y,0,N,Toronto,212,Urban
71aa7b78,Middle,4.4,N,9,N,N,18,N,0,N,Toronto,303,Urban
726895c8,Middle,5.1,N,15,N,N,26,Y,2,N,New York,212,Urban
72a59199,Bottom,5,N,10,N,Y,30,Y,0,N,New York,379,Urban
72c9ce58,Bottom,5.9,N,15,Y,N,22,N,0,N,Chicago,152,Urban
72cd94a4,Bottom,4.8,N,6,N,N,18,N,2,N,Toronto,136,Urban
72fd934c,Top,4,N,9,N,N,14,Y,0,N,New York,295,Urban
737a170c,Middle,4.3,Y,15,N,N,26,N,2,Y,Orlando,136,Suburban
748f511e,Top,4.4,N,17,N,Y,30,Y,0,N,New York,227,Urban
75b9faa4,Top,2,Y,7,N,N,16,N,0,N,Toronto,371,Urban
75c641f3,Top,4.6,N,15,N,N,24,Y,2,N,New York,273,Urban
75d6a015,Top,4.9,N,8,N,N,20,Y,0,N,Toronto,288,Urban
76122084,Top,4.1,N,10,N,N,20,Y,0,N,Toronto,167,Urban
773a3436,Middle,4.8,N,13,N,N,18,Y,2,N,New York,379,Urban
77e0ae27,Middle,4.8,N,15,N,N,14,N,0,N,Toronto,258,Urban
7853545e,Middle,5.1,N,10,N,N,18,Y,2,N,Toronto,76,Urban
78be7b49,Middle,5,N,20,N,N,22,N,2,N,New York,235,Urban
78c17ebb,Middle,4.2,N,6,N,N,14,N,0,N,Toronto,288,Urban
79997a04,Top,4.3,N,17,N,N,32,Y,2,N,Toronto,311,Urban
799ae284,Top,4.3,N,12,N,N,16,Y,0,N,Toronto,144,Urban
7b40afe7,Bottom,5.3,N,10,N,N,16,N,2,Y,San Francisco,273,Suburban
7b5cfcfd,Bottom,3.4,N,11,Y,Y,22,N,2,N,Orlando,220,Suburban
7b869493,Middle,4,N,11,N,N,20,Y,2,N,Toronto,167,Urban
7bf5373c,Middle,4.4,N,14,N,N,18,N,2,N,Toronto,280,Urban
7c04d967,Middle,4.8,N,10,N,N,22,N,3,Y,New York,265,Urban
7c2f19f9,Middle,4.3,N,10,N,N,26,N,2,Y,New York,235,Urban
7cc6b046,Middle,4.1,N,13,N,N,26,N,2,N,New York,205,Urban
7d8b89cf,Middle,4.8,N,13,Y,N,18,Y,0,N,New York,227,Urban
7d8c51be,Middle,4.3,N,10,N,N,24,N,0,Y,Chicago,242,Urban
7dd60ead,Middle,4.3,N,11,N,N,14,N,0,N,Toronto,189,Urban
7dd7b85b,Middle,5,N,14,N,N,14,N,2,N,New York,167,Urban
7dea4013,Middle,5,N,14,N,N,16,N,0,N,Chicago,235,Urban
7fbf320e,Top,4.6,N,14,N,N,16,N,0,N,New York,265,Urban
809f2737,Middle,4.5,N,10,N,N,16,N,0,N,New York,280,Urban
80daf581,Middle,4.1,N,8,N,Y,22,N,2,N,Chicago,212,Urban
8141ad3e,Bottom,4.5,N,9,N,N,18,Y,0,N,Toronto,235,Urban
81e18689,Middle,4.3,N,13,Y,N,26,Y,2,N,Toronto,212,Urban
8205a876,Middle,3,Y,9,N,N,22,Y,0,Y,San Francisco,439,Suburban
82bf75f4,Middle,4.8,N,15,N,N,22,N,0,Y,Toronto,295,Urban
82eb5b29,Bottom,4.9,N,13,N,N,24,N,0,N,New York,197,Urban
830d00c3,Middle,4.3,N,17,N,N,20,Y,0,N,New York,424,Urban
8364dbb2,Middle,4.7,N,11,N,Y,16,N,0,N,Toronto,197,Urban
83ac6952,Middle,4.8,N,12,N,N,22,Y,0,N,Toronto,220,Urban
8476e4e6,Middle,5.1,N,18,N,N,26,N,2,N,New York,333,Urban
84a9c3c5,Middle,4.2,Y,8,Y,N,16,N,0,N,Toronto,189,Urban
84b62128,Bottom,4.5,N,12,N,N,22,N,3,N,Toronto,129,Urban
85ce72be,Middle,4.3,N,11,N,N,20,N,0,Y,Houston,205,Suburban
86070f63,Middle,4.3,N,9,N,Y,14,Y,0,N,Toronto,258,Urban
863a7a40,Middle,5,N,15,N,N,20,Y,0,N,Toronto,205,Urban
865387d8,Bottom,4.8,N,11,Y,N,20,N,2,N,New York,174,Urban
86b03698,Middle,5,Y,12,N,N,24,N,0,N,New York,189,Urban
8769424d,Middle,4.6,N,13,N,N,26,N,0,N,New York,273,Urban
886e43ea,Bottom,4.8,N,8,N,N,18,N,0,N,New York,83,Urban
88bd2854,Bottom,5.2,N,11,N,N,18,Y,2,Y,San Francisco,356,Suburban
88c707b9,Middle,4.5,N,11,N,Y,22,N,3,Y,San Francisco,91,Suburban
88f67137,Middle,4.1,N,10,N,N,22,N,0,Y,Chicago,129,Urban
8928d7a8,Middle,4.6,N,13,N,N,28,N,0,N,New York,265,Urban
8948e057,Middle,5,N,10,N,N,34,Y,0,N,New York,333,Urban
894979c7,Middle,4.9,N,8,N,N,18,N,0,N,New York,197,Urban
8a2de222,Middle,4.7,N,12,N,N,28,N,0,N,Toronto,227,Urban
8a473c59,Bottom,3,Y,10,N,N,24,Y,2,N,Toronto,152,Urban
8aedd876,Middle,5.1,N,15,N,N,26,Y,0,N,New York,326,Urban
8b64ec14,Middle,4.4,N,15,N,Y,20,Y,0,N,Chicago,280,Urban
8c628dc8,Top,4.5,N,11,N,N,22,Y,0,N,New York,280,Urban
8c86404d,Middle,4.5,N,16,N,Y,16,Y,0,N,New York,341,Urban
8cba9ae4,Top,4.1,N,10,N,N,16,N,0,N,Toronto,159,Urban
8ccbaff2,Middle,4.3,N,10,N,N,26,Y,2,N,Toronto,288,Urban
8e130c8f,Middle,4.3,N,12,N,N,22,N,0,Y,Houston,242,Suburban
8e9ede18,Middle,4.5,N,15,N,N,26,N,0,N,Toronto,174,Urban
8efedced,Middle,4.9,N,10,N,N,12,N,0,Y,San Francisco,333,Suburban
8f65945d,Middle,4.6,N,11,N,N,22,N,0,N,New York,424,Urban
9063ac73,Middle,4.7,N,15,N,Y,16,N,0,N,Toronto,98,Urban
906abfc7,Middle,4.7,N,10,Y,Y,16,Y,0,Y,San Francisco,227,Suburban
90baa22b,Bottom,4.8,N,9,N,N,16,N,2,N,New York,341,Urban
9134ff9c,Middle,5,N,11,N,N,18,N,2,Y,Chicago,61,Urban
91881f0c,Bottom,4.8,N,5,N,Y,18,N,0,N,Toronto,273,Urban
9210bf78,Bottom,5.1,N,13,N,Y,22,N,2,N,Chicago,265,Urban
9274383d,Middle,5,N,17,N,N,20,Y,0,N,New York,318,Urban
927c317d,Middle,5.2,N,11,Y,N,24,N,0,N,New York,288,Urban
92c4acd3,Bottom,4.6,N,11,N,N,24,Y,2,Y,San Francisco,318,Suburban
93b6cfc1,Middle,4.7,N,11,N,N,16,N,2,N,Toronto,182,Urban
9404cda9,Bottom,5.2,N,17,Y,N,20,N,3,Y,Houston,364,Suburban
948b1ace,Middle,4.4,N,12,N,N,18,N,0,N,New York,258,Urban
94b28814,Bottom,4.2,N,13,N,Y,14,N,2,Y,San Francisco,258,Suburban
94fab2bb,Top,4.8,N,14,N,Y,26,Y,0,Y,San Francisco,288,Suburban
965ac95c,Bottom,4.6,N,10,N,N,18,N,0,N,Toronto,318,Urban
